Kode Kabupaten;Kabupaten;Provinsi
1101; Simeulue;Aceh
1102; Aceh Singkil;Aceh
1103; Aceh Selatan;Aceh
1104; Aceh Tenggara;Aceh
1105; Aceh Timur;Aceh
1106; Aceh Tengah;Aceh
1107; Aceh Barat;Aceh
1108; Aceh Besar;Aceh
1109; Pidie;Aceh
1110; Bireuen;Aceh
1111; Aceh Utara;Aceh
1112; Aceh Barat Daya;Aceh
1113; Gayo Lues;Aceh
1114; Aceh Tamiang;Aceh
1115; Nagan Raya;Aceh
1116; Aceh Jaya;Aceh
1117; Bener Meriah;Aceh
1118; Pidie Jaya;Aceh
1171; Banda Aceh;Aceh
1172; Sabang;Aceh
1173; Langsa;Aceh
1174; Lhokseumawe;Aceh
1175; Subulussalam;Aceh
1201; Nias;Sumatera Utara
1202; Mandailing Natal;Sumatera Utara
1203; Tapanuli Selatan;Sumatera Utara
1204; Tapanuli Tengah;Sumatera Utara
1205; Tapanuli Utara;Sumatera Utara
1206; Toba Samosir;Sumatera Utara
1207; Labuhan Batu;Sumatera Utara
1208; Asahan;Sumatera Utara
1209; Simalungun;Sumatera Utara
1210; Dairi;Sumatera Utara
1211; Karo;Sumatera Utara
1212; Deli Serdang;Sumatera Utara
1213; Langkat;Sumatera Utara
1214; Nias Selatan;Sumatera Utara
1215; Humbang Hasundutan;Sumatera Utara
1216; Pakpak Bharat;Sumatera Utara
1217; Samosir;Sumatera Utara
1218; Serdang Bedagai;Sumatera Utara
1219; Batu Bara;Sumatera Utara
1220; Padang Lawas Utara;Sumatera Utara
1221; Padang Lawas;Sumatera Utara
1222; Labuhan Batu Selatan;Sumatera Utara
1223; Labuhan Batu Utara;Sumatera Utara
1224; Nias Utara;Sumatera Utara
1225; Nias Barat;Sumatera Utara
1271; Sibolga;Sumatera Utara
1272; Tanjung Balai;Sumatera Utara
1273; Pematang Siantar;Sumatera Utara
1274; Tebing Tinggi;Sumatera Utara
1275; Medan;Sumatera Utara
1276; Binjai;Sumatera Utara
